model	embedding_type	label_type	pair_significance_bucket	n_systems	n_rows	n_samples_eval_total	n_samples_eval_mean	n_labels_mean	silhouette_cosine_mean	silhouette_cosine_weighted_mean	silhouette_euclidean_mean	silhouette_euclidean_weighted_mean	nearest_centroid_loo_acc_cosine_mean	nearest_centroid_loo_acc_cosine_weighted_mean	nearest_centroid_loo_acc_euclidean_mean	nearest_centroid_loo_acc_euclidean_weighted_mean	within_between_ratio_cosine_mean	within_between_ratio_cosine_weighted_mean	within_between_ratio_euclidean_mean	within_between_ratio_euclidean_weighted_mean	kmeans_ari_mean	kmeans_ari_weighted_mean	kmeans_ami_mean	kmeans_ami_weighted_mean
bert_base_uncased	delta	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	0.14285714285714285	0.5028540767930941	0.5028540767930941	0.2661494644361753	0.2661494644361753	1.0	1.0	1.0	1.0	0.49453086835681065	0.49453086835681065	0.7417951464505557	0.7417951464505557	0.00881057268722467	0.00881057268722467	-0.01799169489319756	-0.01799169489319756
bert_base_uncased	delta	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	1.6612903225806452	0.4349126387556386	0.36272248921666367	0.25378385091804845	0.1993039650900546	0.942039265388662	0.9301939058171745	0.9335446805050285	0.9229916897506926	0.4113050632786975	0.4180642129057758	0.646924073297837	0.659996472652477	0.44850495918610184	0.4728642138800089	0.5195816632358826	0.5731698518340798
bert_base_uncased	delta	conditioned-exclude	all	76	76	8568	112.73684210526316	2.8815789473684212	0.003457255686601974	-0.026511702309706904	0.012282902926245757	-0.0023290335934225605	0.5305656245270076	0.49993318187892555	0.5263590928555487	0.48523319524254976	0.8340871901941133	0.8718855971201929	0.8908541862584877	0.9100081077636235	0.16842544769322856	0.12607528570973905	0.23810863204228833	0.19366629294430207
bert_base_uncased	delta	conditioned-exclude	pair_not_significant	14	14	2146	153.28571428571428	2.2857142857142856	-0.03904716028387868	-0.034691909900007034	-0.018393221730840265	-0.012244859480510751	0.3774916485674304	0.38103975535168194	0.3480404873953001	0.3498470948012232	0.9881585240418838	0.9926057569007443	0.9735363908869825	0.9731387189237102	0.03855576769539428	0.03608326398917307	0.07195564408082723	0.06660020938541492
bert_base_uncased	delta	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.0161290322580645	0.010958034975510325	-0.024224657266933184	0.01769633668926094	0.00044326040886697257	0.5575786791081095	0.5331737346101231	0.5578270820544161	0.5230848153214774	0.8068981312798009	0.8381343212581541	0.8762632089711061	0.8923578770442766	0.19134362651637574	0.15123550382073864	0.26742974756489907	0.2291917797122194
bert_base_uncased	delta	form	all	76	76	14183	186.6184210526316	2.0	0.606454352842222	0.6084258388345987	0.3692899606010014	0.37087712875903045	0.999801636438439	0.9997884791651978	0.9994713666685368	0.9994359444405274	0.3913860399170232	0.3894133008422852	0.6309952958485573	0.6293830548442481	0.984223940459931	0.9831758497536733	0.9823284038007971	0.9811531083318394
bert_base_uncased	delta	form	pair_not_significant	14	14	2735	195.35714285714286	2.0	0.6333830540613382	0.6332840062104051	0.3909337545326991	0.3908684809543517	1.0	1.0	1.0	1.0	0.3646535088631688	0.36474178440859734	0.6088515211179163	0.608922346727345	1.0	1.0	1.0	1.0
bert_base_uncased	delta	form	pair_significant	62	62	11448	184.6451612903226	2.0	0.6003736783733895	0.6024870645707247	0.36440265229384383	0.36610106759077365	0.9997568446664735	0.9997379454926625	0.9993519978517547	0.9993011879804332	0.39742241789692584	0.3953074830091384	0.6359955030457989	0.634271248126894	0.9806616044347543	0.9791564532718684	0.9783380433687191	0.9766504660613625
bert_base_uncased	delta	raw	all	76	76	14183	186.6184210526316	8.986842105263158	-0.20058477493054808	-0.20152670160139013	-0.11067126357739752	-0.11174988377116904	0.4357650529536259	0.43135993135993134	0.4015738248866368	0.3963248963248963	0.8808009905356423	0.8818675575223157	0.9117748895002574	0.9128213485650322	0.14483346623735235	0.14457203928603196	0.22774938922786905	0.2272952014130598
bert_base_uncased	delta	raw	pair_not_significant	14	14	2735	195.35714285714286	6.714285714285714	-0.12589789039233618	-0.12846598942234477	-0.056731807989012756	-0.058223976531323184	0.38999022892238966	0.38691883372734437	0.35981821500665717	0.3561859732072498	0.9504935071360193	0.9496702241233691	0.9534662803332328	0.9529811966728966	0.08762310790878439	0.08935305759090344	0.1415550311251338	0.14424378215794342
