system_id	lemma	msps	cond_bucket	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
speed__pst	speed	pst	all	199	2	0.16139216224926853	2-10	0.161392,0.128180,0.101563,0.094151,0.087351,0.079854,0.081060,0.073877,0.070224	27999.221275,26190.501538,24770.881940,23797.318171,22875.749872,22204.718746,21687.374687,21350.044130,20938.802742	
spell__ppt	spell	ppt	all	148	2	0.1349972631211964	2-10	0.134997,0.124314,0.093156,0.084948,0.084832,0.082406,0.069100,0.059457,0.074857	22182.926257,20440.100909,19521.401817,18824.725181,18176.595474,17480.116978,17060.083276,16920.805016,16297.894607	
spill__ppt	spill	ppt	all	151	2	0.14270547182969484	2-10	0.142705,0.131037,0.125826,0.128572,0.139579,0.130752,0.109281,0.110240,0.108585	21968.969611,19994.276214,18608.231017,17595.166062,16948.289591,16426.671567,15960.774683,15510.507676,15215.429300	
spill__pst	spill	pst	all	126	2	0.13796775397538064	2-10	0.137968,0.112143,0.099219,0.072870,0.069191,0.065303,0.070499,0.057134,0.071862	17359.511521,16354.760255,15567.538960,15077.937732,14611.985687,14214.789865,13790.562508,13574.559351,13010.344397	
spit__ppt	spit	ppt	all	199	2	0.13105859633253353	2-10	0.131059,0.101463,0.077989,0.090959,0.073064,0.073693,0.064478,0.066228,0.060898	24575.637990,23373.739305,22371.894727,21512.988776,20824.131848,20311.090749,19934.418876,19381.594983,19071.554768	
spit__pst	spit	pst	all	200	2	0.1268058119812823	2-10	0.126806,0.107921,0.084670,0.090955,0.080945,0.077436,0.068659,0.063353,0.061472	24366.322445,22886.971903,21785.352271,20751.665333,20084.648479,19665.225059,19098.438141,18927.403717,18450.758887	
spring__pst	spring	pst	all	200	2	0.16617161451381282	2-10	0.166172,0.115939,0.098554,0.097940,0.075113,0.073717,0.065147,0.061627,0.066368	27848.419247,26259.848885,24757.322066,23940.190266,23445.423584,22872.547920,22293.292260,21908.981141,21443.899129	
strive__ppt	strive	ppt	all	200	2	0.23915717039417048	2-10	0.239157,0.161485,0.119742,0.094819,0.093511,0.073067,0.059901,0.047050,0.059531	20720.229854,19485.023866,18439.070768,17829.493425,17336.921262,17139.993350,16700.838590,16388.231791,16066.246987	
strive__pst	strive	pst	all	199	2	0.2517512871615798	2-10	0.251751,0.173621,0.089860,0.084231,0.066495,0.063280,0.064283,0.058869,0.057688	23071.903486,21719.822314,20648.086431,19862.661596,19462.778750,18839.955930,18438.596086,18082.535269,17835.416263	
take__ppt	take	ppt	all	199	2	0.09541763327451128	2-10	0.095418,0.061380,0.060332,0.063003,0.065961,0.065132,0.061801,0.065835,0.066207	43407.033902,41198.350128,39629.128174,38317.490388,37350.809140,36363.540753,35582.995943,34959.261030,34208.340241	
tear__ppt	tear	ppt	all	96	2	0.15263426883664985	2-10	0.152634,0.141478,0.124164,0.110527,0.098955,0.099490,0.078923,0.073594,0.067112	13046.867504,11526.065899,10849.826831,10242.742406,9758.438609,9428.902141,9121.835579,9068.955193,8741.594486	
throw__pst	throw	pst	all	109	2	0.24168004923384717	2-10	0.241680,0.187570,0.113184,0.094853,0.093550,0.096282,0.085177,0.076528,0.049733	14511.292103,13443.583101,12544.698663,11968.912241,11648.073088,11209.548574,10685.481225,10559.955275,10339.388280	
tread__ppt	tread	ppt	all	197	2	0.23822233359787742	2-10	0.238222,0.157381,0.091034,0.088467,0.088943,0.100117,0.091648,0.068666,0.070687	28352.817140,26915.281526,25660.390404,24644.329379,23979.387802,22871.066872,22403.404369,22070.838034,21654.464686	
tread__pst	tread	pst	all	170	2	0.22769581947281647	2-10	0.227696,0.192740,0.091361,0.096589,0.074604,0.074470,0.070558,0.054826,0.039952	17257.010904,16315.270658,15615.757851,15095.427207,14662.520704,14434.841074,14192.850605,14000.311718,13741.756173	
wake__ppt	wake	ppt	all	198	2	0.23451865648186274	2-10	0.234519,0.207111,0.113114,0.100544,0.103343,0.115604,0.108190,0.085013,0.088959	32497.871418,30019.974161,28562.791950,27278.056129,26187.039164,24977.269052,24287.007369,23957.727843,23255.359498	
wear__ppt	wear	ppt	all	88	2	0.133772553516557	2-10	0.133773,0.084190,0.078730,0.083147,0.054501,0.050883,0.053261,0.039342,0.043319	12040.755603,11457.332696,10861.819310,10553.257773,10329.919933,9884.381092,9600.902485,9451.598165,9122.862344	
weave__ppt	weave	ppt	all	122	2	0.2253375859411589	2-10	0.225338,0.152729,0.065479,0.067954,0.056558,0.055785,0.050761,0.053904,0.048859	16567.654598,15844.879088,15148.386085,14700.215235,14366.411325,13896.387767,13604.170179,13432.184450,12936.038198	
weave__pst	weave	pst	all	198	2	0.25208897053804813	2-10	0.252089,0.143114,0.085645,0.083510,0.064207,0.071014,0.027609,0.036883,0.046161	22938.666019,22045.814543,21191.889647,20615.739684,20300.612762,19833.215495,19604.793723,19127.458507,18929.242005	
wet__pst	wet	pst	all	76	2	0.16580713535461292	2-10	0.165807,0.128314,0.078477,0.084623,0.080725,0.085779,0.061265,0.075566,0.073891	9412.593136,8790.169698,8308.530026,7908.630587,7651.280872,7297.570788,7121.858206,6846.994516,6565.629242	
write__ppt	write	ppt	all	199	2	0.11067046863655904	2-10	0.110670,0.071996,0.073588,0.071776,0.061390,0.068339,0.067362,0.058188,0.063370	37915.122940,36134.920376,34588.985439,33383.227984,32942.664396,31969.423082,30818.992205,30376.422466,30040.716793	
bid__ppt	bid	ppt	all	171	3	0.22883512446512294	2-10	0.209897,0.228835,0.114594,0.100302,0.104477,0.108935,0.116225,0.115895,0.114625	36844.427420,32791.105521,31336.987563,29718.819219,28623.227139,27386.277139,26028.621079,25459.345263,24847.761523	
bring__pst	bring	pst	all	193	3	0.18117805637683534	2-10	0.179711,0.181178,0.143889,0.135162,0.079710,0.059034,0.065044,0.064157,0.077351	26845.499756,25021.777155,23458.305892,22814.184224,22075.431117,21765.972863,21100.312546,20681.371710,20279.453260	
dream__ppt	dream	ppt	all	199	3	0.18185409634187208	2-10	0.170118,0.181854,0.125669,0.087133,0.094932,0.089052,0.086258,0.080713,0.092837	24249.588514,22307.782115,21345.086302,20394.086233,19603.096832,19070.666524,18521.255719,18101.045008,17518.887323	
shine__ppt	shine	ppt	all	200	3	0.12769831879219928	2-10	0.125343,0.127698,0.116328,0.110746,0.115447,0.117683,0.103474,0.075619,0.080058	33979.024035,30468.224349,28820.151020,27316.569852,26240.483244,25419.560451,24860.546559,24449.724344,23908.516577	
