embedding_type_layer	layer	model	embedding_type	label_type	pair_significance_bucket	n_systems	n_rows	n_samples_eval_total	n_samples_eval_mean	n_labels_mean	silhouette_cosine_mean	silhouette_cosine_weighted_mean	silhouette_euclidean_mean	silhouette_euclidean_weighted_mean	nearest_centroid_loo_acc_cosine_mean	nearest_centroid_loo_acc_cosine_weighted_mean	nearest_centroid_loo_acc_euclidean_mean	nearest_centroid_loo_acc_euclidean_weighted_mean	within_between_ratio_cosine_mean	within_between_ratio_cosine_weighted_mean	within_between_ratio_euclidean_mean	within_between_ratio_euclidean_weighted_mean	kmeans_ari_mean	kmeans_ari_weighted_mean	kmeans_ami_mean	kmeans_ami_weighted_mean
orig	11	kanishka_GlossBERT	orig	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.20568940295454333	0.22460388429157557	0.11830995303085622	0.1291222083631679	0.8992418888959304	0.9092475830180748	0.8966425693923724	0.9081757040773435	0.688727338855674	0.6104642492570543	0.8200957753303776	0.7673672513056089	0.3151531192545184	0.41034020448905717	0.35693537655529967	0.48385842564353826
orig	11	kanishka_GlossBERT	orig	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	2.942857142857143	0.20997189380454295	0.2268232288814235	0.12140574723933682	0.1306869377843891	0.903461340074595	0.9113147240571063	0.9007832533133534	0.9102279991476668	0.6822218238721874	0.6064068381205769	0.8152646787599093	0.7644288204074062	0.32551129458546346	0.41639293123636634	0.36900819922076245	0.4911344117522434
orig	11	kanishka_GlossBERT	orig	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	2.0	0.06436720490455627	0.06436720490455627	0.016148744150996208	0.016148744150996208	0.76	0.76	0.76	0.76	0.9034093333107357	0.9034093333107357	0.9795219621558339	0.9795219621558339	-0.02666666666666667	-0.02666666666666667	-0.04146777140497051	-0.04146777140497051
orig	11	kanishka_GlossBERT	orig	conditioned-exclude	all	76	76	8568	112.73684210526316	3.084507042253521	0.13841276112555836	0.13574359921834214	0.07880984054257473	0.07644953332973571	0.8183502055234866	0.8233328878791928	0.8153444367209882	0.8207937992783643	0.7567144039932837	0.7652570553473932	0.8596217139443051	0.8648617296168614	0.26014978968592806	0.2566675124415352	0.32438841644493177	0.3158784807948771
orig	11	kanishka_GlossBERT	orig	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.169491525423729	0.14059942982196078	0.13751636717286791	0.08011647668101039	0.07741252703535804	0.8154661704281381	0.8185704514363885	0.812947286264862	0.8172024623803009	0.7479002071240615	0.7526036672085613	0.8540665616706228	0.8569722147357539	0.25965996460688306	0.2579202977347325	0.33098918008668204	0.32890702764672863
orig	11	kanishka_GlossBERT	orig	conditioned-exclude	pair_not_significant	14	14	2146	153.28571428571428	2.6666666666666665	0.1260216385126114	0.1294028365283931	0.07140556909143925	0.0730051374945801	0.8346930710637956	0.8403669724770643	0.8289282893057032	0.8336391437308869	0.8066615195855434	0.810515167785246	0.8911009101618375	0.8930806183169944	0.26292546513384923	0.2521866021084354	0.28698408914168055	0.2692785162752274
orig	11	kanishka_GlossBERT	orig	raw	all	76	76	14183	186.6184210526316	8.986842105263158	0.03673329835233744	0.03640475208603289	0.020763221486316374	0.02043208560048959	0.7299568599983268	0.7311597311597312	0.7298347247712135	0.731016731016731	0.7548383911753166	0.755538055606818	0.8623298683590853	0.862432131835003	0.22670184001292346	0.2259299421190661	0.33323138232968796	0.3332379928025722
orig	11	kanishka_GlossBERT	orig	raw	pair_significant	62	62	11448	184.6451612903226	9.5	0.03134180405440049	0.030423347967298772	0.01766529691784883	0.016945596967319947	0.7191004099284526	0.7202131376659678	0.719869098223134	0.7209993011879804	0.7425079318673313	0.7434304336846241	0.8552329923231037	0.8554071348279141	0.232455692131903	0.230879584151952	0.347115033353064	0.3466440217171135
orig	11	kanishka_GlossBERT	orig	raw	pair_not_significant	14	14	2735	195.35714285714286	6.714285714285714	0.06244657885019059	0.06338470257904634	0.035537938659007735	0.03615837475436118	0.7817337757161879	0.7805358550039401	0.7773630975389769	0.7762017336485422	0.8136451971057083	0.8101511587452246	0.896176507915305	0.894119352377617	0.19926039144548258	0.20360389720477243	0.26701704667974124	0.27276824535825817
orig	12	kanishka_GlossBERT	orig	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.18680257574819467	0.20367242205236616	0.10236826207598343	0.11344553294153935	0.8862383203194704	0.9016183270281631	0.8856706711064144	0.8999789827658681	0.7052721164601016	0.6241505190591374	0.8329260597358532	0.7804530037515002	0.29314823459142664	0.42268477666935617	0.3395043109555198	0.48263902030397654
orig	12	kanishka_GlossBERT	orig	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	2.942857142857143	0.19112141898861437	0.20588006295593986	0.10477313814176754	0.1146981393270855	0.8888516027533937	0.9030257830811848	0.888266752049033	0.901363733219689	0.6982287730591444	0.6198076945489914	0.8288107568078941	0.7778452744910153	0.3028395952356113	0.4289084808706861	0.3510489195118983	0.48989811714205067
orig	12	kanishka_GlossBERT	orig	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	2.0	0.044280748814344406	0.044280748814344406	0.023007351905107498	0.023007351905107498	0.8	0.8	0.8	0.8	0.9377024486916881	0.9377024486916881	0.9687310563585088	0.9687310563585088	-0.02666666666666667	-0.02666666666666667	-0.04146777140497051	-0.04146777140497051
orig	12	kanishka_GlossBERT	orig	conditioned-exclude	all	76	76	8568	112.73684210526316	3.084507042253521	0.12798022928570088	0.1255760067616733	0.0690234803565545	0.06726632827423411	0.8110505676955408	0.8155819858345583	0.8097911932012043	0.8147801683816651	0.7660339808130859	0.7743179827601063	0.8692580501788386	0.8748407657048959	0.2607239195284469	0.24510971025928158	0.3159698667190429	0.2998094995685989
orig	12	kanishka_GlossBERT	orig	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.169491525423729	0.13038067858867056	0.12791218942678795	0.07105872440083391	0.06952805536678378	0.8088816589710053	0.8122435020519836	0.8078041754848335	0.8117305061559508	0.7563269550833756	0.7601372621717711	0.8623762017086255	0.8647329161439761	0.2648575248717039	0.25006286052190646	0.3269969101028541	0.3169460027894328
orig	12	kanishka_GlossBERT	orig	conditioned-exclude	pair_not_significant	14	14	2146	153.28571428571428	2.6666666666666665	0.11437768323553933	0.11722004576742831	0.057490430772304535	0.05917667687531641	0.8233410504679087	0.8275229357798165	0.8210509602606378	0.8256880733944955	0.8210404599481109	0.8250389943812587	0.9082551915100462	0.9109941016267665	0.2373001559166572	0.22739348840250448	0.25348328754411287	0.23851636755915806
orig	12	kanishka_GlossBERT	orig	raw	all	76	76	14183	186.6184210526316	8.986842105263158	0.0274857936364909	0.027284564219450348	0.009783318539254349	0.009787176599115	0.7233515386169546	0.7248677248677249	0.7217203671442534	0.723008723008723	0.7654527381498178	0.7658155772197669	0.8721042702938138	0.8723119657282196	0.21685180498470633	0.2151268049458008	0.3250344885166514	0.32332136466923644
orig	12	kanishka_GlossBERT	orig	raw	pair_significant	62	62	11448	184.6451612903226	9.5	0.022672346902019795	0.02199963534701629	0.007257512679276964	0.006999949565832128	0.7121120425129449	0.7135744234800838	0.7106243431913316	0.711827393431167	0.7523007787059369	0.7527013126486406	0.8637891526450138	0.8640016621806166	0.2253889799368085	0.22290716009059683	0.34120967503166105	0.338911839293517
orig	12	kanishka_GlossBERT	orig	raw	pair_not_significant	14	14	2735	195.35714285714286	6.714285714285714	0.05044223190858387	0.05112296679298268	0.021829469563761868	0.02235934960030583	0.7769552892668471	0.7758077226162332	0.7746398659966498	0.7734436564223798	0.8281774678052501	0.8249692812427196	0.9117609852342452	0.9097967391769824	0.1761360475208347	0.18003243705863559	0.24789129129122042	0.2529983727469496
