n_samples	n_labels	label_entropy	label_max_count	label_min_count	label_singleton_fraction	label_sparse_fraction	token_mismatch_rate	missing_meaning_count	silhouette	silhouette_ci_low	silhouette_ci_high	davies_bouldin	calinski_harabasz	dunn	intra_inter_ratio	centroid_separation	nearest_centroid_loo_acc	model	lexeme	distance	embedding_source	head_indices	condition	global_label_scope
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.30428160223398665	-0.27758474860440935	-0.26384306231229776	7.9088792117967115	7.242721446094567	4.126634867835634e-09	0.8225587265793612	0.5140006748744468	0.21260014566642388	transfo-xl-wt103	__ALL__	euclidean	head	5,9	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.375346669830063	-0.3580900072888992	-0.330314880292089	7.770329836310037	8.162402075973832	1.121013257358208e-16	0.9238229645084148	0.9973574197459057	0.27997086671522214	transfo-xl-wt103	__ALL__	cosine	head	5,10	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3031605203689551	-0.2776647829419088	-0.26230810991453335	7.770329836310037	8.162402075973832	7.525763312152797e-09	0.804910389275026	0.5239319719100612	0.21442097596504006	transfo-xl-wt103	__ALL__	euclidean	head	5,10	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.37024499604485567	-0.35278693607700595	-0.3288637113957686	7.8251489541644235	7.778996282914496	0.0	0.9261321520476082	0.9978689822363851	0.27807720320466134	transfo-xl-wt103	__ALL__	cosine	head	5,11	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.30333395670340924	-0.27678730116151157	-0.26280291607080036	7.8251489541644235	7.778996282914496	0.0	0.8138274879544262	0.5146879846767852	0.21784413692643845	transfo-xl-wt103	__ALL__	euclidean	head	5,11	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.36405763180935086	-0.3452813057508949	-0.31600217221113525	7.662587445451494	7.684866386142524	0.0	0.9273797154202058	0.9974281880201019	0.27822286962855064	transfo-xl-wt103	__ALL__	cosine	head	6,7	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.30403613703594073	-0.27652399391790083	-0.2615218121789211	7.662587445451494	7.684866386142524	0.0	0.8146349755351141	0.48175682234915707	0.21580480699198834	transfo-xl-wt103	__ALL__	euclidean	head	6,7	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.37157250713217654	-0.3530005754372088	-0.3232986532098511	7.750435800015836	7.820528672820308	0.0	0.9259359890104956	0.9978619774904515	0.2749453750910415	transfo-xl-wt103	__ALL__	cosine	head	6,8	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.30632749481233645	-0.2795328978671925	-0.26502746726152243	7.750435800015836	7.820528672820308	0.0	0.8104045024944773	0.4889678663705317	0.21376547705753823	transfo-xl-wt103	__ALL__	euclidean	head	6,8	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3528739152855402	-0.33600845414517394	-0.30975036463818445	7.717720966547829	7.403235966815284	1.6781509276408214e-16	0.9297040914829225	0.9967425774145737	0.2738528769118718	transfo-xl-wt103	__ALL__	cosine	head	6,9	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.300524436407868	-0.2737112293079297	-0.25903991937465776	7.717720966547829	7.403235966815284	7.815685155255039e-09	0.8216834308542981	0.49168071299831845	0.21099781500364165	transfo-xl-wt103	__ALL__	euclidean	head	6,9	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.37506795302133317	-0.3581835484053746	-0.33040767166351614	7.728714381295641	8.499305163932338	0.0	0.9230125609049094	0.9966152504746507	0.27764020393299343	transfo-xl-wt103	__ALL__	cosine	head	6,10	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.30520098382273053	-0.27839938051291524	-0.26419398651373804	7.728714381295641	8.499305163932338	0.0	0.8074743200397835	0.518874022423682	0.2147851420247633	transfo-xl-wt103	__ALL__	euclidean	head	6,10	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.37327473689749713	-0.3533580841016155	-0.3277295703113429	7.9639311359836435	7.848173994588257	0.0	0.9280401518446748	0.9972225589971109	0.2775673707210488	transfo-xl-wt103	__ALL__	cosine	head	6,11	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3061100295932578	-0.27900037351398826	-0.26378426942521704	7.9639311359836435	7.848173994588257	4.506373848865378e-09	0.8144801433465014	0.5053022684928895	0.2169701383831027	transfo-xl-wt103	__ALL__	euclidean	head	6,11	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3658841495977317	-0.34870733774764023	-0.32178850700542916	7.972370653628781	8.031413260407431	0.0	0.9261390174645445	0.998179337267809	0.2710852148579752	transfo-xl-wt103	__ALL__	cosine	head	7,8	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3048880488157915	-0.27756645432324606	-0.2631732809888586	7.972370653628781	8.031413260407431	0.0	0.8158968921810543	0.4799279065445607	0.21252731245447926	transfo-xl-wt103	__ALL__	euclidean	head	7,8	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3582110116079463	-0.33956740668907986	-0.3140150718146773	7.625935031120667	7.802198286209282	1.6817596282953751e-16	0.9283991139098969	0.9971647017221091	0.2730517115804807	transfo-xl-wt103	__ALL__	cosine	head	7,9	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3005003093109212	-0.2743477278972657	-0.2593797732651483	7.625935031120667	7.802198286209282	8.261733775949602e-09	0.8163163055452177	0.49382253448148183	0.21099781500364165	transfo-xl-wt103	__ALL__	euclidean	head	7,9	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3683681545421084	-0.35064313852792517	-0.3249860061545569	7.592810174451853	7.7754969513698375	0.0	0.9258887880327331	0.997595098169187	0.274435542607429	transfo-xl-wt103	__ALL__	cosine	head	7,10	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.30142991468521624	-0.27548917239038506	-0.25968284751186677	7.592810174451853	7.7754969513698375	8.65818943790462e-09	0.8178326990554344	0.48581723920019493	0.21267297887836853	transfo-xl-wt103	__ALL__	euclidean	head	7,10	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.36634439099282945	-0.3481982884001425	-0.32223886860567463	7.856601881916406	8.20502931609482	5.606218154626356e-17	0.926775834147294	0.9983090672830214	0.2735615440640932	transfo-xl-wt103	__ALL__	cosine	head	7,11	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3043487964022349	-0.2761874186663202	-0.26206220363994764	7.856601881916406	8.20502931609482	7.159126370740084e-09	0.8160089533706278	0.4972032809809445	0.21267297887836853	transfo-xl-wt103	__ALL__	euclidean	head	7,11	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3650094666878243	-0.3456617227523938	-0.3204706104081439	7.894345844345808	7.6359166484157095	5.579142874320596e-17	0.9266967124079822	0.9981983590327691	0.2713037144938092	transfo-xl-wt103	__ALL__	cosine	head	8,9	global_pooled	lexeme_prefixed
13730	516	7.696256620432563	359	1	0.17635658914728683	0.2751937984496124	0.0	0	-0.3049357856541982	-0.2778786123624719	-0.2634970743053469	7.894345844345808	7.6359166484157095	5.845875896416756e-09	0.8183357058784091	0.5049939703900619	0.21209031318281135	transfo-xl-wt103	__ALL__	euclidean	head	8,9	global_pooled	lexeme_prefixed
