"lemma","form_1","form_1_freq","form_2","form_2_freq","msps","chisq_eq","p_eq","p_cat","cond_type","def"
"shine","shined",18,"shone",34,"pst",4.92307692307692,"0.0265","0.0000","prob","To emit rays of light"
"shine","shined",3,"shone",18,"pst",10.7142857142857,"0.0011","0.2317","cat","To be bright by reflection of light"
"shine","shined",12,"shone",9,"pst",0.428571428571429,"0.5127","0.0013","no_cond","To be eminent, conspicuous, or distinguished; ""She shines in math"""
"shine","shined",33,"shone",7,"pst",16.9,"0.0000","0.0117","prob","To perform extremely well; ""The stocks really shined last week"""
"shine","shined",11,"shone",5,"pst",2.25,"0.1336","0.0434","no_cond","To highlight; to bring attention to"
"shine","shone",25,"shined",3,"ppt",17.2857142857143,"0.0000","0.2364","cat","To emit rays of light"
"shine","shone",8,"shined",15,"ppt",2.1304347826087,"0.1444","0.0038","no_cond","To perform extremely well; ""The stocks really shined last week"""
"shine","shone",19,"shined",8,"ppt",4.48148148148148,"0.0343","0.0043","prob","To throw or direct the light of"
"shine","shone",0,"shined",38,"ppt",38,"0.0000","1.0000","cat","To make bright by polishing"
"shine","shone",20,"shined",16,"ppt",0.444444444444444,"0.5050","0.0000","no_cond","To highlight; to bring attention to"
"spring","sprung",17,"sprang",20,"pst",0.243243243243243,"0.6219","0.0000","no_cond","To issue by birth or descent. ""sprang from the upper class"""
"spring","sprung",34,"sprang",42,"pst",0.842105263157895,"0.3588","0.0000","no_cond","To come into being. To arise. ""Towns sprang up across the plains."""
"spring","sprung",10,"sprang",9,"pst",0.0526315789473684,"0.8185","0.0011","no_cond","To quickly start working. ""Firefighters are ready to leap/spring/swing into action at a moment's notice."" To become suddenly very active and energetic. ""They sprang into action as soon as they received their orders."" ""The crowd sprang to life after the first goal was scored."" "
"throw","throwed",6,"threw",10,"pst",1,"0.3173","0.0177","no_cond","Phrases: throw cold water on, throw money at, throw one's weight around, throw to the wolves, throw together"
"throw","throwed",9,"threw",24,"pst",6.81818181818182,"0.0090","0.0021","prob","To propel through the air by a forward motion of the hand and arm. ""throw a baseball"""
"throw","throwed",14,"threw",4,"pst",5.55555555555556,"0.0184","0.1039","cat","To drive or impel violently. ""The ship was thrown on a reef."""
"throw","throwed",16,"threw",3,"pst",8.89473684210526,"0.0029","0.2297","cat","To put in a particular position or condition. ""threw her arms around him"" / ""thrown into chaos"" / ""threw him into prison"""
"weave","weaved",65,"wove",16,"pst",29.641975308642,"0.0000","0.0000","prob","To move in a devious, winding, or zigzag course especially to avoid obstacles. "
"weave","weaved",11,"wove",12,"pst",0.0434782608695652,"0.8348","0.0002","no_cond","To produce by elaborately combining elements. To contrive. "
"weave","weaved",6,"wove",15,"pst",3.85714285714286,"0.0495","0.0207","prob","To unite in a coherent whole. "
"weave","weaved",5,"wove",23,"pst",11.5714285714286,"0.0007","0.0515","cat","To introduce as an appopriate element. To work in. Usually used with in or into. "
"tread","treaded",26,"trod",29,"pst",0.163636363636364,"0.6858","0.0000","no_cond","To move or proceed on or as if on foot. ""must tread lightly"""
"tread","treaded",50,"trod",6,"pst",34.5714285714286,"0.0000","0.0271","prob","Phrases: tread on one's toes, tread water"
"tread","treaded",3,"trod",14,"pst",7.11764705882353,"0.0076","0.2273","cat","To step or walk on or over"
"tread","treaded",5,"trod",20,"pst",9,"0.0027","0.0502","cat","To walk or proceed along. To follow. ""treading a fine line between tradition and innovation"""
"slink","slinked",64,"slunk",69,"pst",0.18796992481203,"0.6646","0.0000","no_cond","To go or move stealthily or furtively (as in fear or shame). To steal. "
"wet","wetted",30,"wet",14,"pst",5.81818181818182,"0.0159","0.0000","prob","To make wet. "
