aggregation	silhouette	davies_bouldin	calinski_harabasz	dunn	intra_inter_ratio	centroid_separation	nearest_centroid_loo_acc	total_samples	distance	model	head_indices	embedding_source
micro	-0.19958879015740214	6.6238170801002685	7.8352172115844105	0.17391418179103998	0.909061608080935	2.014699258201249	0.27913627913627914	14183.0	euclidean	answerdotai_ModernBERT-base	0,3	head
macro	-0.35569694129035423	6.011636722391703	7.059884722086612	0.05731162357832209	0.8611227660554424	1.033960841054727	0.3738946194141144		cosine	answerdotai_ModernBERT-base	0,5	head
micro	-0.36084664463272964	6.5838182997682555	8.029765923372844	0.0545733769513331	0.866890730678242	1.0315631416311923	0.3602173602173602	14183.0	cosine	answerdotai_ModernBERT-base	0,5	head
macro	-0.2017986509815891	6.011636722391703	7.059884722086612	0.18172695528623645	0.9076888099206445	2.051221393669919	0.28925577544367764		euclidean	answerdotai_ModernBERT-base	0,5	head
micro	-0.20285411295519282	6.5838182997682555	8.029765923372844	0.1743248056226513	0.9101544346032833	2.019957818818158	0.2724152724152724	14183.0	euclidean	answerdotai_ModernBERT-base	0,5	head
macro	-0.357522257694515	6.024934251791842	7.216014358181413	0.05702064833246777	0.8616839512784437	1.0316850378496094	0.3639886206076165		cosine	answerdotai_ModernBERT-base	0,7	head
micro	-0.3628159163701592	6.628103140957856	8.074984918210859	0.05474774657073964	0.8685516401535714	1.0301413795400827	0.3512798512798513	14183.0	cosine	answerdotai_ModernBERT-base	0,7	head
macro	-0.19954968482078522	6.024934251791842	7.216014358181413	0.18378954417774523	0.9066894911022104	2.093793082869817	0.2916994347821712		euclidean	answerdotai_ModernBERT-base	0,7	head
micro	-0.20139431964325777	6.628103140957856	8.074984918210859	0.17640214018157524	0.9095688667622179	2.0639300774730396	0.2772772772772773	14183.0	euclidean	answerdotai_ModernBERT-base	0,7	head
macro	-0.3476799690549709	5.976172184070232	6.722936393823985	0.06021009435671158	0.865741862432208	1.0284344500209408	0.3676855302883254		cosine	answerdotai_ModernBERT-base	0,6	head
micro	-0.35114242025309006	6.530330411421826	7.493565870842663	0.05880546088468501	0.8734505268232553	1.0262768299583822	0.3557128557128557	14183.0	cosine	answerdotai_ModernBERT-base	0,6	head
macro	-0.19416794259274595	5.976172184070232	6.722936393823985	0.1854475405954208	0.9065235567872981	1.9775920057502374	0.2924700184157923		euclidean	answerdotai_ModernBERT-base	0,6	head
micro	-0.19535063171981584	6.530330411421826	7.493565870842663	0.18072669485399837	0.9096998499591267	1.9346699664344014	0.27734877734877733	14183.0	euclidean	answerdotai_ModernBERT-base	0,6	head
macro	-0.344356551615841	6.067656162602692	6.80549062981666	0.0589225381791117	0.863498502467694	1.0291627342527678	0.37010673870787253		cosine	answerdotai_ModernBERT-base	0,8	head
micro	-0.34624745231738474	6.679238065510399	7.556036503877603	0.057855389301088134	0.8709021425649714	1.026810412736434	0.3595023595023595	14183.0	cosine	answerdotai_ModernBERT-base	0,8	head
macro	-0.1936055642481765	6.067656162602692	6.80549062981666	0.18325947784988467	0.908304109150126	1.9752229297930983	0.2993724060890823		euclidean	answerdotai_ModernBERT-base	0,8	head
micro	-0.19364252095327797	6.679238065510399	7.556036503877603	0.17749661213486695	0.9116079486700239	1.9292099983340236	0.28585728585728587	14183.0	euclidean	answerdotai_ModernBERT-base	0,8	head
macro	-0.3502588511677894	5.993572456161013	6.8539679956492705	0.059348529987234236	0.8634239185244049	1.0345218214617276	0.3713871304423547		cosine	answerdotai_ModernBERT-base	0,9	head
micro	-0.35517362315485346	6.581125161858016	7.680079947083056	0.057949582820151495	0.8699813612354067	1.034130774144538	0.3595023595023595	14183.0	cosine	answerdotai_ModernBERT-base	0,9	head
macro	-0.19540581997430329	5.993572456161013	6.8539679956492705	0.18731190864543704	0.906339728006757	2.018871894428305	0.29261946199783745		euclidean	answerdotai_ModernBERT-base	0,9	head
micro	-0.19728651436809036	6.581125161858016	7.680079947083056	0.18144584901823108	0.9093445745005408	1.9823860293024362	0.27834977834977837	14183.0	euclidean	answerdotai_ModernBERT-base	0,9	head
macro	-0.3490533784547107	5.9233219604877	7.613074175831775	0.055654122856309954	0.8598279080227956	1.0306412167666879	0.3688151133640147		cosine	answerdotai_ModernBERT-base	0,10	head
micro	-0.3528940557553732	6.526563621447931	8.598047147871597	0.05334685299245519	0.8663591275582533	1.0308876559990092	0.35742885742885744	14183.0	cosine	answerdotai_ModernBERT-base	0,10	head
macro	-0.1954973127792653	5.9233219604877	7.613074175831775	0.17929342619024616	0.9037282310417253	2.0535117675575973	0.28960630531692394		euclidean	answerdotai_ModernBERT-base	0,10	head
micro	-0.1968151015336947	6.526563621447931	8.598047147871597	0.1732037298421902	0.9067606310751326	2.0200870823119312	0.2755612755612756	14183.0	euclidean	answerdotai_ModernBERT-base	0,10	head
