system_id	lemma	msps	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
dive__pst	dive	pst	198	2	0.5413680350925637	2-10	0.541368,0.323985,0.102962,0.086474,0.062389,0.058001,0.051084,0.057434,0.044668	12301.372053,11444.112017,10969.332561,10715.424176,10415.918843,10255.253609,10103.205453,9916.163425,9692.810403	
dream__ppt	dream	ppt	199	2	0.5637311614805994	2-10	0.563731,0.321324,0.072412,0.080340,0.071110,0.059337,0.071671,0.052845,0.062698	10215.550739,9762.358218,9382.762959,9046.075414,8763.084845,8569.254891,8363.351977,8182.212616,7929.787305	
dream__pst	dream	pst	197	2	0.5460612780486601	2-10	0.546061,0.320579,0.100024,0.095068,0.097447,0.102721,0.102178,0.077023,0.057046	12860.583939,12033.254019,11416.576480,10909.002972,10515.968547,10210.225042,10027.233616,9775.873001,9632.522747	
drink__ppt	drink	ppt	200	2	0.49253222320547685	2-10	0.492532,0.275339,0.065693,0.068841,0.067302,0.047322,0.048090,0.045706,0.050729	7308.629460,7001.574334,6715.738858,6561.549531,6370.909443,6274.925299,6152.999026,6053.681377,5892.449217	
drive__ppt	drive	ppt	142	2	0.5626468058867339	2-10	0.562647,0.353699,0.339246,0.340699,0.069194,0.060559,0.055452,0.061883,0.046966	17101.897289,15848.767479,15209.633508,14745.072983,14285.485005,14107.807595,13820.652091,13392.102165,13236.233559	
eat__ppt	eat	ppt	199	2	0.5579546862828422	2-10	0.557955,0.317684,0.056560,0.059897,0.051310,0.053175,0.044998,0.043814,0.039091	26478.602436,25331.015463,24635.181666,24023.555824,23513.512530,23163.159518,22696.074355,22472.759506,22302.864820	
fall__ppt	fall	ppt	200	2	0.5705545643376487	2-10	0.570555,0.511367,0.235532,0.090220,0.058376,0.065564,0.058010,0.059754,0.049263	17611.853474,15919.337257,15453.788071,14697.572222,14308.223680,13892.134290,13637.359560,13319.727821,13208.573539	
fall__pst	fall	pst	199	2	0.4738043401700573	2-10	0.473804,0.273630,0.075102,0.068818,0.047414,0.043872,0.043381,0.042822,0.051953	14536.966287,13869.424724,13328.844617,12909.676405,12815.049917,12389.462978,12038.765715,11953.480235,11566.865486	
fly__pst	fly	pst	198	2	0.618501676473726	2-10	0.618502,0.350693,0.090488,0.099720,0.060348,0.060372,0.056557,0.058852,0.048426	12239.036958,11566.892095,11141.537394,10866.965162,10606.800378,10323.240276,10126.984082,9962.377850,9845.421510	
forget__ppt	forget	ppt	200	2	0.5083289287314132	2-10	0.508329,0.507703,0.295224,0.088007,0.072782,0.084154,0.054057,0.061422,0.051991	12391.051257,11618.702910,11047.074454,10471.467045,10258.222263,9993.820854,9784.115587,9623.998339,9488.336381	
hang__ppt	hang	ppt	198	2	0.529966492787243	2-10	0.529966,0.288167,0.074353,0.057325,0.062423,0.058773,0.058333,0.048211,0.036399	20466.915371,19643.248120,18950.681784,18369.484719,17756.204007,17247.047001,16929.918290,16779.268873,16514.386886	
hang__pst	hang	pst	198	2	0.5479606878371381	2-10	0.547961,0.311885,0.060998,0.059413,0.059003,0.062136,0.052232,0.056713,0.055634	18992.854056,18188.028888,17564.676821,17031.606158,16675.656373,16197.376257,15884.490706,15567.348951,15328.581763	
heave__pst	heave	pst	126	2	0.5470055302531359	2-10	0.547006,0.314959,0.054591,0.054946,0.044409,0.059090,0.053990,0.051975,0.042755	9092.365894,8740.322086,8429.624037,8127.678175,7966.265763,7752.602690,7528.339553,7340.337323,7224.865906	
kneel__pst	kneel	pst	200	2	0.5778981450314735	2-10	0.577898,0.330161,0.061175,0.063200,0.053462,0.060051,0.055649,0.049201,0.055046	13316.623632,12834.957408,12374.552359,11967.786013,11673.574223,11420.337114,11103.888446,11091.522143,10729.398811	
knit__ppt	knit	ppt	200	2	0.5205620031851838	2-10	0.520562,0.294640,0.091374,0.079455,0.074291,0.074745,0.073407,0.057746,0.065380	13513.455888,12822.474471,12176.961701,11836.893214,11464.400013,11187.246130,10968.619597,10757.837423,10533.677015	
knit__pst	knit	pst	188	2	0.5135661923543368	2-10	0.513566,0.313523,0.097296,0.094925,0.070185,0.071030,0.069230,0.071959,0.061626	12545.773595,11803.973067,11242.038836,10948.998980,10629.597556,10364.333026,10147.380345,9937.531922,9817.007992	
know__pst	know	pst	197	2	0.581406527598932	2-10	0.581407,0.339057,0.096033,0.074862,0.069789,0.058204,0.046995,0.049885,0.052488	14305.574894,13517.514426,12792.770124,12492.441938,12222.938542,11854.925855,11770.083362,11555.749604,11314.687583	
lay__ppt	lay	ppt	200	2	0.5216023518958903	2-10	0.521602,0.295949,0.059294,0.062108,0.071912,0.061637,0.060622,0.062413,0.058271	18424.261067,17559.808817,16947.790834,16338.629833,15859.123971,15500.093356,15290.325369,15116.876050,14841.192544	
lay__pst	lay	pst	196	2	0.46313309934151814	2-10	0.463133,0.274024,0.086292,0.065990,0.059421,0.071137,0.050838,0.029823,0.034678	12986.281720,12332.728262,11717.867168,11388.656403,11065.086869,10883.955766,10725.782187,10618.863088,10327.256025	
lead__ppt	lead	ppt	198	2	0.4529684746255968	2-10	0.452968,0.273310,0.083246,0.074870,0.081098,0.062634,0.060740,0.056242,0.065481	17952.586726,17050.346999,16285.655776,15864.706704,15495.163146,15224.462665,14819.966818,14633.201784,14259.571391	
leap__ppt	leap	ppt	199	2	0.4640823565233133	2-10	0.464082,0.276041,0.089654,0.090136,0.090507,0.088110,0.053252,0.038363,0.051737	10344.309355,9762.756292,9237.391192,8761.545510,8642.198160,8444.655234,8300.360863,8177.233730,8072.661830	
leap__pst	leap	pst	199	2	0.4575603338429516	2-10	0.457560,0.278686,0.091764,0.072525,0.049948,0.060768,0.056956,0.041640,0.031124	10554.492093,9927.151482,9554.526472,9306.717320,9094.591183,8952.080826,8690.709133,8612.963247,8484.233243	
learn__ppt	learn	ppt	198	2	0.5933058555763131	2-10	0.593306,0.322316,0.064376,0.054365,0.050786,0.044045,0.044837,0.048087,0.040618	8307.130115,7964.492393,7659.341886,7479.988521,7337.516733,7216.521916,7113.012487,6990.069239,6885.977818	
