system_id	lemma	msps	cond_bucket	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
drive__ppt	drive	ppt	all	142	2	0.48212513134263585	2-10	0.482125,0.425190,0.389263,0.369151,0.393552,0.368184,0.198007,0.176076,0.122633	287510.823706,222159.496065,192074.685347,175102.092937,163450.716000,157698.589801,151017.398074,145491.910570,140454.524908	
eat__ppt	eat	ppt	all	199	2	0.40681695067897694	2-10	0.406817,0.382246,0.306103,0.234984,0.234450,0.242227,0.142320,0.132458,0.132660	1312560.315876,1079471.952261,963359.195208,877524.480566,809433.054092,765378.236532,729506.095393,694840.867910,666528.899812	
fall__ppt	fall	ppt	all	200	2	0.2552642330302495	2-10	0.255264,0.218303,0.218425,0.197089,0.155167,0.145234,0.129991,0.133876,0.099290	705582.285197,585927.549349,495141.154073,457492.663707,432348.200009,417463.995344,404542.600978,393832.168574,384537.237297	
fall__pst	fall	pst	all	199	2	0.5391031283412127	2-10	0.539103,0.347600,0.196958,0.172468,0.134389,0.104395,0.133076,0.103226,0.095766	1977208.023020,1703629.673102,1506268.319198,1406073.313092,1335193.486360,1291897.809015,1256370.402504,1204803.750070,1182750.289339	
fly__pst	fly	pst	all	198	2	0.4837402118765958	2-10	0.483740,0.387850,0.217859,0.237403,0.158100,0.128580,0.123797,0.117697,0.117111	289684.053872,245579.503549,222783.078112,208043.327629,195829.997307,186110.483144,176558.791905,170554.565892,164677.944609	
forget__ppt	forget	ppt	all	200	2	0.556223885559409	2-10	0.556224,0.394152,0.181327,0.130521,0.109203,0.110795,0.124825,0.105470,0.103252	759168.764722,660260.692090,615863.739794,584436.043991,552091.734544,530251.864425,506938.137318,489862.282168,476771.808041	
hang__ppt	hang	ppt	all	198	2	0.5565144864951459	2-10	0.556514,0.371189,0.174441,0.182590,0.136590,0.129598,0.130447,0.133763,0.103056	1028858.593555,916474.681056,822028.881451,776734.690885,738468.497590,705322.695398,677625.521643,657683.891981,647596.695424	
hang__pst	hang	pst	all	198	2	0.5670292507026771	2-10	0.567029,0.389602,0.212908,0.189754,0.184260,0.162384,0.160369,0.136207,0.109744	1038618.477577,901427.467916,778827.839735,739823.240556,699432.541385,666004.644194,646378.058807,630748.517141,609986.533792	
heave__pst	heave	pst	all	126	2	0.5588680772098485	2-10	0.558868,0.401676,0.245437,0.193146,0.182555,0.132097,0.116629,0.125595,0.098256	505727.956196,423751.329225,352315.526559,333077.997666,319955.327534,308411.889376,297718.535049,285082.763230,281155.824711	
kneel__pst	kneel	pst	all	200	2	0.6542164582601663	2-10	0.654216,0.372328,0.080905,0.090880,0.084628,0.075033,0.085500,0.069233,0.060956	163965.079533,155606.810841,148645.241390,142390.028894,138365.935704,134943.338098,133390.065724,129849.295025,127619.289856	
