system_id	lemma	msps	cond_bucket	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
spit__ppt	spit	ppt	no_cond	189	2	0.13419091413850706	2-10	0.134191,0.103106,0.098107,0.065573,0.069676,0.078264,0.079305,0.072991,0.055348	22992.030970,21836.206363,20949.553864,20218.885852,19428.107961,18907.284496,18539.763053,18245.574149,18169.671003	
spring__pst	spring	pst	no_cond	132	2	0.1724197678987974	2-10	0.172420,0.124565,0.101972,0.083783,0.091005,0.070265,0.074578,0.067898,0.072670	17424.798154,16395.568965,15365.068894,14862.190233,14368.989677,14006.962483,13589.189851,13283.625455,12907.234320	
strive__ppt	strive	ppt	no_cond	181	2	0.24284090090299704	2-10	0.242841,0.164102,0.124130,0.094864,0.082734,0.068684,0.080441,0.052427,0.052336	18557.789050,17465.448795,16466.521921,15858.502538,15500.266757,15077.931741,14773.604869,14546.616440,14362.901721	
strive__pst	strive	pst	no_cond	178	2	0.2580644050503758	2-10	0.258064,0.172156,0.088878,0.080515,0.064373,0.070860,0.057180,0.063311,0.058443	19655.970907,18552.067338,17552.495195,17030.260788,16542.483450,16138.331063,15908.914026,15487.892716,15272.399533	
take__ppt	take	ppt	no_cond	63	2	0.1110198534150311	2-10	0.111020,0.082460,0.090127,0.105068,0.079786,0.084104,0.088005,0.082404,0.078925	13112.020265,12089.756387,11467.827139,10832.552571,10248.201074,9808.469753,9468.056172,9113.451879,8928.871514	
tear__ppt	tear	ppt	no_cond	73	2	0.15800035188262743	2-10	0.158000,0.152887,0.130156,0.103347,0.115963,0.110415,0.083754,0.083622,0.080706	9763.728585,8508.215588,7930.016172,7526.557075,7082.769398,6895.752614,6633.742405,6359.980144,6072.094251	
throw__pst	throw	pst	no_cond	15	2	0.20038262589554645	2-10	0.200383,0.175139,0.165856,0.154649,0.154973,0.105403,0.098614,0.085281,0.058994	1906.718297,1570.397801,1356.956670,1163.972536,967.454731,817.189953,656.084792,531.723534,423.252553	
tread__ppt	tread	ppt	no_cond	82	2	0.24660184745000735	2-10	0.246602,0.139048,0.068003,0.067426,0.066266,0.060635,0.055013,0.060662,0.065127	10743.422949,10124.743457,9689.778805,9323.457295,9004.348253,8687.300462,8488.311836,8188.960287,7887.040128	
tread__pst	tread	pst	no_cond	55	2	0.22623591938454973	2-10	0.226236,0.189530,0.091331,0.088094,0.063418,0.065030,0.048195,0.064581,0.060040	5350.755274,4942.269990,4717.866435,4539.694005,4292.896829,4134.273474,4020.104640,3818.619938,3717.673440	
wake__ppt	wake	ppt	no_cond	151	2	0.22885921570552922	2-10	0.228859,0.206065,0.116304,0.177827,0.108950,0.118517,0.099081,0.094060,0.086182	24770.819029,22372.063638,21424.076613,20377.434904,19343.796062,18581.756110,18191.490346,17971.047235,17165.742325	
wear__ppt	wear	ppt	no_cond	66	2	0.14248719411020813	2-10	0.142487,0.090058,0.103148,0.100185,0.077506,0.046711,0.057997,0.045820,0.045419	8394.457629,7844.089963,7369.970638,7136.895852,6912.124729,6716.084674,6433.715796,6349.740469,6134.596870	
weave__ppt	weave	ppt	no_cond	68	2	0.22748548308769767	2-10	0.227485,0.163765,0.061339,0.150862,0.079206,0.077634,0.061846,0.067387,0.058521	8736.682929,8214.966212,7923.841532,7621.492978,7206.765113,7035.636989,6745.853991,6548.771211,6365.830199	
weave__pst	weave	pst	no_cond	23	2	0.2551738827419946	2-10	0.255174,0.202024,0.118916,0.097004,0.053914,0.091702,0.057947,0.071368,0.048971	2353.642109,2112.115147,1913.376193,1711.862853,1616.262873,1443.942307,1368.019817,1225.198041,1124.441517	
write__ppt	write	ppt	no_cond	144	2	0.1067206474650039	2-10	0.106721,0.082092,0.076229,0.081056,0.078599,0.064912,0.075448,0.053644,0.050771	26467.689576,24873.243260,23739.845262,22797.291016,22071.320618,21733.134920,20961.667602,20675.404890,20395.903438	
dream__ppt	dream	ppt	no_cond	181	3	0.1817727461915582	2-10	0.168625,0.181773,0.122741,0.096015,0.089669,0.098679,0.086067,0.103055,0.070961	21936.740562,19993.278611,19074.942269,18177.148970,17602.925440,16922.499427,16539.797320,16040.433131,15888.821792	
know__pst	know	pst	no_cond	49	3	0.3057182121930823	2-10	0.303703,0.305718,0.195988,0.118013,0.176236,0.183537,0.094460,0.106234,0.088013	4578.347521,3764.649141,3533.775683,3328.163149,3149.694855,3008.265135,2839.826375,2734.320368,2602.312962	
shine__ppt	shine	ppt	no_cond	59	3	0.17702469797236875	2-10	0.168017,0.177025,0.140888,0.115336,0.106385,0.090550,0.099553,0.081427,0.093923	8157.928773,6936.862977,6544.647916,6217.255333,5925.774467,5805.147366,5498.391553,5291.916135,5092.071375	
shine__pst	shine	pst	no_cond	37	3	0.14339218056877112	2-10	0.137183,0.143392,0.112568,0.096654,0.093876,0.072009,0.083957,0.079885,0.075211	5032.529389,4249.631296,3885.192584,3613.409818,3451.702634,3257.247395,3038.307444,2849.156761,2682.492950	
show__ppt	show	ppt	no_cond	149	3	0.17124856815125233	2-10	0.171226,0.171249,0.166526,0.074392,0.106963,0.060353,0.059996,0.056546,0.064201	27332.564007,25557.450069,24312.240054,23575.662170,22856.543885,22559.943523,21808.817813,21386.359741,20748.116460	
spit__pst	spit	pst	no_cond	84	3	0.14061419907918096	2-10	0.140382,0.140614,0.127215,0.070684,0.048735,0.058308,0.053038,0.049311,0.063375	9615.789307,8832.264771,8423.165091,8057.940781,7840.220328,7604.049117,7281.011260,7062.968624,6815.627159	
lead__ppt	lead	ppt	no_cond	50	6	0.12445523622235002	2-10	0.123325,0.084059,0.111344,0.112819,0.124455,0.118577,0.111519,0.112627,0.108535	10872.489709,9931.057449,9083.613446,8485.922788,7903.111473,7564.953661,7280.661350,6820.473977,6416.816178	
